column,dtype,non_null_count,missing_count,missing_rate,unique_count,sample_values
title,str,9004,0,0.0,7089,"[""Bán lô đất đường Lỗ Giáng 8 - Hoà Xuân giá đầu"", ""Nhà mặt tiền Cao Đạt 1 trệt 2 lầu trung tâm quận 5"", ""Đất ngay tthc bầu bàng, giá chỉ 2tr 1m2"", ""Nhà đẹp 4x15m, Võ văn Vân, Vĩnh Lộc B, 525Tr/ căn"", ""Đất TC 6x25m mặt tiền đường nhựa thôn 2 Suối Rao""]"
price,str,9004,0,0.0,5931,"[""2,38 tỷ- 100 m2"", ""18 tỷ- 79 m2"", ""1 tỷ- 500 m2"", ""525 triệu- 60 m2"", ""440 triệu- 150 m2""]"
area,str,9004,0,0.0,833,"[""- 100 m2"", ""- 79 m2"", ""- 500 m2"", ""- 60 m2"", ""- 150 m2""]"
location,str,9004,0,0.0,5088,"[""Đường Lỗ Giáng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"", ""Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh"", ""Đường Quốc Lộ 13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương"", ""Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh"", ""Thôn 2, Xã Suối Rao, Huyện Châu Đức, Bà Rịa - Vũng Tàu""]"
description,str,9004,0,0.0,7088,"[""Còn lô giá rẻ nhất khu vực: Nam Cẩm Lệ\n✔️ Đường Lỗ Giáng 8 - Hoà Xuân \n✔Vị trí song song với đường Mẹ Thứ \n✔Diện tích 100m2 \n✔Hướng Nam\n✔ Giá 2.38 tỷ \nAnh chị quan tâm liên hệ E để xem đất và làm việc chính chủ"", ""Nhà 1 trệt 2 lầu\nDiện tích 4,15x18,8\n4 phòng ngủ 2 toilet 1 khách\nNội thất cơ bản đầy đủ\nMặt tiền trước nhà rộng xe hơi quay đầu\nNằm ngay bệnh viện, trường học, chợ, khu vui chơi có tiếng ở sài gòn,...\nRa quận 1 chưa tới 5 phút\nSổ hồng riêng đầy đủ"", ""Vài lô liền kề nằm ngay kcn , tthc bầu bàng \nDiện tích rộng nên có thể đầu tư xây trọ cách các khu công nghiệp chỉ 100m\nDiện tích 5,5 x100\nGiá chỉ 2tr 1m2, đường 4m\nĐã có sổ riêng từng nền, bao công chứng trong ngày\nCác nhà trọ gần khu công nghiệp đã quá tải nền việc đầu tư xây trọ hiện tại là 1 thời điểm quá hợp lí\nCó thêm nhiều phần quà và giá hấp dẫn\nCó xe đưa rướt miễn phí vào ngày chủ nhật"", ""Nhà chính chủ mới xây đường võ văn vân, vĩnh lộc b, bình chánh, diện tích 4x15m, giá bán 525 triệu\ndiện tích 4x15m, tổng xây dựng 1 trệt 1 lầu 3 Pn, nhà xây tượng riêng, sổ riêng\nđiện nước máy, đường nhựa 7m\nxung quanh dân cư đông đúc, có gần trường cấp 123, chợ \nmua cho thuê hoặc ở liền, nhà xây bàn giao hoàn thiện\nliên hệ xem nhà gặp Mai"", ""bán lô đất đẹp mặt tiền đường nhựa thôn 2, Suối Rao, Châu Đức\nhình chụp thực tế bên trên\nsổ đỏ thực tế bên trên, có số tờ số thửa đi xem đất các bạn đối chiếu giùm nhé.\n6x25m có 100m2 đất ở\nsổ riêng có sẵn luôn\ngiá 440 triệu cả lô đất luôn\n7 lô mình đã bán 5 lô chỉ còn 2 lô liền kề, lấy hết thì có giá rẻ hơn nữa\ncam kết hình thực, giá thực không đăng ba xạo.\nmình chính chủ bán""]"
Diện tích đất:,str,9004,0,0.0,1018,"[""100 m2"", ""79 m²"", ""500 m2"", ""60 m²"", ""150 m2""]"
Giá/m2:,str,9004,0,0.0,4318,"[""23,8 triệu/m2"", ""227,85 triệu/m²"", ""2 triệu/m2"", ""8,75 triệu/m²"", ""2,93 triệu/m2""]"
Hướng cửa chính:,str,9004,0,0.0,8,"[""Nam"", ""Bắc"", ""Đông Bắc"", ""Tây Nam"", ""Đông Nam""]"
Giấy tờ pháp lý:,str,9004,0,0.0,3,"[""Đã có sổ"", ""Đang chờ sổ"", ""Giấy tờ khác""]"
Đặc điểm nhà/đất:,str,9004,0,0.0,3,"[""Mặt tiền"", ""Nở hậu"", ""Hẻm xe hơi""]"
Loại hình đất:,str,9004,0,0.0,4,"[""Đất thổ cư"", ""Đất nông nghiệp"", ""Đất nền dự án"", ""Đất công nghiệp""]"
Chiều ngang:,str,9004,0,0.0,236,"[""5 m"", ""4 m"", ""6 m"", ""12 m"", ""10 m""]"
Chiều dài:,str,9004,0,0.0,318,"[""20 m"", ""18 m"", ""100 m"", ""15 m"", ""25 m""]"
