title,price,area,location,description,Diện tích đất:,Giá/m2:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tên phân khu/Lô/Block/Tháp:,Mã căn / Mã căn hộ:,Tầng số:,Hướng ban công:,Mã lô:,Đặc điểm căn hộ:,Loại hình văn phòng:
Bán lô đất đường Lỗ Giáng 8 - Hoà Xuân giá đầu,"2,38 tỷ- 100 m2",- 100 m2,"Đường Lỗ Giáng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","Còn lô giá rẻ nhất khu vực: Nam Cẩm Lệ
✔️ Đường Lỗ Giáng 8 - Hoà Xuân 
✔Vị trí song song với đường Mẹ Thứ 
✔Diện tích 100m2 
✔Hướng Nam
✔ Giá 2.38 tỷ 
Anh chị quan tâm liên hệ E để xem đất và làm việc chính chủ",100 m2,"23,8 triệu/m2",Nam,Đã có sổ,Mặt tiền,Đất thổ cư,5 m,20 m,,,,,,,,,,,,,,,,
Nhà mặt tiền Cao Đạt 1 trệt 2 lầu trung tâm quận 5,18 tỷ- 79 m2,- 79 m2,"Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà 1 trệt 2 lầu
Diện tích 4,15x18,8
4 phòng ngủ 2 toilet 1 khách
Nội thất cơ bản đầy đủ
Mặt tiền trước nhà rộng xe hơi quay đầu
Nằm ngay bệnh viện, trường học, chợ, khu vui chơi có tiếng ở sài gòn,...
Ra quận 1 chưa tới 5 phút
Sổ hồng riêng đầy đủ",79 m²,"227,85 triệu/m²",Nam,Đang chờ sổ,Mặt tiền,Đất thổ cư,4 m,18 m,4 phòng,3 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,89 m²,,,,,,,,,,,
"Đất ngay tthc bầu bàng, giá chỉ 2tr 1m2",1 tỷ- 500 m2,- 500 m2,"Đường Quốc Lộ 13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương","Vài lô liền kề nằm ngay kcn , tthc bầu bàng 
Diện tích rộng nên có thể đầu tư xây trọ cách các khu công nghiệp chỉ 100m
Diện tích 5,5 x100
Giá chỉ 2tr 1m2, đường 4m
Đã có sổ riêng từng nền, bao công chứng trong ngày
Các nhà trọ gần khu công nghiệp đã quá tải nền việc đầu tư xây trọ hiện tại là 1 thời điểm quá hợp lí
Có thêm nhiều phần quà và giá hấp dẫn
Có xe đưa rướt miễn phí vào ngày chủ nhật",500 m2,2 triệu/m2,Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,5 m,100 m,4 phòng,3 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,89 m²,,,,,,,,,,,
"Nhà đẹp 4x15m, Võ văn Vân, Vĩnh Lộc B, 525Tr/ căn",525 triệu- 60 m2,- 60 m2,"Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","Nhà chính chủ mới xây đường võ văn vân, vĩnh lộc b, bình chánh, diện tích 4x15m, giá bán 525 triệu
diện tích 4x15m, tổng xây dựng 1 trệt 1 lầu 3 Pn, nhà xây tượng riêng, sổ riêng
điện nước máy, đường nhựa 7m
xung quanh dân cư đông đúc, có gần trường cấp 123, chợ 
mua cho thuê hoặc ở liền, nhà xây bàn giao hoàn thiện
liên hệ xem nhà gặp Mai",60 m²,"8,75 triệu/m²",Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,4 m,15 m,3 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120 m²,,,,,,,,,,,
Đất TC 6x25m mặt tiền đường nhựa thôn 2 Suối Rao,440 triệu- 150 m2,- 150 m2,"Thôn 2, Xã Suối Rao, Huyện Châu Đức, Bà Rịa - Vũng Tàu","bán lô đất đẹp mặt tiền đường nhựa thôn 2, Suối Rao, Châu Đức
hình chụp thực tế bên trên
sổ đỏ thực tế bên trên, có số tờ số thửa đi xem đất các bạn đối chiếu giùm nhé.
6x25m có 100m2 đất ở
sổ riêng có sẵn luôn
giá 440 triệu cả lô đất luôn
7 lô mình đã bán 5 lô chỉ còn 2 lô liền kề, lấy hết thì có giá rẻ hơn nữa
cam kết hình thực, giá thực không đăng ba xạo.
mình chính chủ bán",150 m2,"2,93 triệu/m2",Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6 m,25 m,3 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120 m²,,,,,,,,,,,
600m2 đất thổ cư SHR cách đường Lý Thái Tổ Bảo Lộc,"1,56 tỷ- 600 m2",- 600 m2,"Đường Lý Thái Tổ, Xã Đạm Bri, Thành phố Bảo Lộc, Lâm Đồng","DT: 12 x 50m đất thổ cư ( sổ hồng )
Thế đất bằng view cao thoáng,không khí trong lành,ngắm nhìn đồi núi vườn trà cà phê xanh ngát, thich hợp cho những ai có ý định muốn xây 1 căn nhà vườn nghỉ ngơi sau những ngày làm việc mệt mỏi , tạm xa cuộc sống tấp nập ồn ào nơi đô thị!
1 bước chân tới ngàn tiện ich : gần Lâu Đài Trắng, Đồi Hướng Dương, thác Đambri, chợ khu 6, trường học... 
Khu dân cư hiện hữu, an ninh, hệ thống hạ tầng đầy đủ, đường nhựa rộng oto ra vào thoải mái ! 
Gía bán mong muốn : 1 tỷ 560tr
Đ/c : hẻm Lý Thái Tổ, xã Đambri , tp Bảo Lộc tỉnh Lâm Đồng.
Cô chú anh chị quan tâm gọi cho em nhé !",600 m2,"2,6 triệu/m2",Bắc,Đã có sổ,Nở hậu,Đất thổ cư,12 m,50 m,3 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120 m²,,,,,,,,,,,
"Kẹt vốn bán căn 2PN view hồ bơi tầng 10 giá 2,530T","2,5 tỷ- 67 m2",- 67 m2,"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","Chính chủ cần bán nhanh căn 2PN 67m2 view hồ bơi tầng 10 giá 2,530 tỷ.
Mua bán nhanh có bớt
Dự án chuẩn bị giao nhà vào đầu năm sau.
Bàn giao full nội thất cơ bản và bếp thương hiệu Malloca. Call để trao đổi thêm",600 m2,"37,31 triệu/m²",Bắc,Đã có sổ,Nở hậu,Đất thổ cư,12 m,50 m,2 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120 m²,Đã bàn giao,67 m²,Chung cư,,,,,,,,
Bán đất mặt tiền 1 sẹt Quốc Lộ 20,890 triệu- 250 m2,- 250 m2,"Đường Quốc Lộ 20, Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng","Hiện tại gia đình mình đang cần gấp nguồn vốn xoay lấy nguồn hàng tết nên muốn bán lại miếng đất tại Thành Phố Bảo Lộc
Diện tích 250m2(10x25) có 160m2 thổ cư,sổ hồng riêng
Vị trí 1 sẹt quốc lộ 20 cách 2km,mặt tiền đường 8m.Gần chợ,trường học,Uỷ Ban.cách trung tâm TP.Bảo lộc 5-7phút đi xe máy.Cách mấy khu du lịch tầm 10-12phút.
Giá có thể thương lượng cho những ai đang cần",250 m2,"3,56 triệu/m2",Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,10 m,25 m,2 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120 m²,Đã bàn giao,67 m²,Chung cư,,,,,,,,
Chính chủ cần bán đất xã Liên Khê,560 triệu- 261 m2,- 261 m2,"Đường 359, Xã Tân Dương, Huyện Thuỷ Nguyên, Hải Phòng","Chính chủ cần bán đất sổ đỏ chính chủ
Vị trí cách chợ 400m UBND 300m
Cách mặt đường 20 mét ngõ 4m ô tô vào",261 m2,"2,15 triệu/m2",Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,15 m,18 m,2 phòng,2 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120 m²,Đã bàn giao,67 m²,Chung cư,,,,,,,,
Nhà trệt 4 lầu sân thượng (4x20)p12.q5.25tỷ TL,25 tỷ- 80 m2,- 80 m2,"Đường Phó Cơ Điều, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mới , đẹp , nằm ngai trung tâm quận 5 , cung đường sầm uất , thuận tiện kinh doanh như spa , văn phòng , căn hộ dịch vụ , KS...
Gần chợ , trường học , bệnh viện , trung tâm thương mại 
Đang có hộp đồng thuê 80tr/tháng",80 m²,"312,5 triệu/m²",Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4 m,20 m,6 phòng,6 phòng,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,72 m²,Đã bàn giao,67 m²,Chung cư,,,,,,,,
